pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
1925,2.8388863327833994e-18,-61.743954699315545,-64.93317516062753,[-7.00922536e-01  2.76347818e-09  7.42674301e+03],[-7.00922536e-01  2.76347818e-09  7.42674301e+03]
1927,0.0,-61.800917043735524,1.0,[-1.81770824e+00  2.79610325e-08  7.42674301e+03],[-1.81770824e+00  2.79610325e-08  7.42674301e+03]
1971,1.8700311907632554e-18,-63.373643229450096,-66.83449755091475,[-8.58053716e-01  1.54221000e-08  7.42674301e+03],[-8.58053716e-01  1.54221000e-08  7.42674301e+03]
1975,9.78430862374631e-18,-61.52852768371827,-64.6615946873811,[-1.60500526e+00  2.85994971e-08  7.42674301e+03],[-1.60500526e+00  2.85994971e-08  7.42674301e+03]
2017,0.0,-66.41533259616799,1.0,[-2.52196592e+00  1.46483720e-08  7.42674301e+03],[-2.52196592e+00  1.46483720e-08  7.42674301e+03]
2065,6.956321891794944e-18,-59.987384931809956,-64.64597892214951,[-1.61246963e+00  2.87459456e-08  7.42674301e+03],[-1.61246963e+00  2.87459456e-08  7.42674301e+03]
2076,0.0,-62.37879556575237,1.0,[-9.34354225e-01  1.00683289e-08  7.42674301e+03],[-9.34354225e-01  1.00683289e-08  7.42674301e+03]
0,0.27907300270564356,-1.9353244245658305,-1.9353244245658305,[0. 0. 0.],[0. 0. 0.]
12,0.0,-4.932228887341232,1.0,[0.49714305 0.25092233 0.13970912],[0.49714305 0.25092233 0.13970912]
18,0.03502566667658936,-5.156069904120278,-5.903301819973843,[0.25092233 0.13970912 0.4663555 ],[0.25092233 0.13970912 0.4663555 ]
6,0.0,-1.6601000996571065,1.0,[0. 0. 0.],[0. 0. 0.]
7,0.26599479766333617,-2.0208263863898073,-2.0208263863898073,[0. 0. 0.],[0. 0. 0.]
8,0.24334808941273509,-2.0987351545888173,-2.0987351545888173,[0. 0. 0.],[0. 0. 0.]
10,0.0,-1.678026764238451,1.0,[0. 0. 0.],[0. 0. 0.]
51,0.0,-2.7377349377932045,1.0,[ 0.13970912  0.4663555  -0.00724766],[ 0.13970912  0.4663555  -0.00724766]
13,0.0,-1.9510189253864758,1.0,[0. 0. 0.],[0. 0. 0.]
15,0.2071606402791836,-2.2739049271846397,-2.2739049271846397,[0. 0. 0.],[0. 0. 0.]
103,0.0,-2.4767062512657487,1.0,[-0.00724766  0.49287221  0.49767035],[-0.00724766  0.49287221  0.49767035]
20,0.23567802607568442,-2.1995746711555473,-2.1995746711555473,[0. 0. 0.],[0. 0. 0.]
21,0.0,-1.8298669505188063,1.0,[0. 0. 0.],[0. 0. 0.]
22,0.19995191905381746,-2.348426074671425,-2.348426074671425,[0. 0. 0.],[0. 0. 0.]
25,0.03368841619945299,-4.050424295188716,-4.050424295188716,[0. 0. 0.],[0. 0. 0.]
27,0.03831919287577638,-5.270128624948146,-6.9309044622195,[ 4.69062540e-01  4.49234986e-01 -3.65562490e-09],[ 4.69062540e-01  4.49234986e-01 -3.65562490e-09]
28,0.0,-5.0249562403491375,1.0,[0. 0. 0.],[0. 0. 0.]
29,0.03975739134211941,-4.530488687927091,-4.530488687927091,[0. 0. 0.],[0. 0. 0.]
30,0.1633204678380688,-1.872160138167475,-1.872160138167475,[0. 0. 0.],[0. 0. 0.]
31,0.0,-2.4776376572965337,1.0,[0. 0. 0.],[0. 0. 0.]
37,0.0,-4.232538913085243,1.0,[0. 0. 0.],[0. 0. 0.]
38,0.030294836133149018,-4.024918774302133,-4.024918774302133,[0. 0. 0.],[0. 0. 0.]
41,0.16540532919178083,-1.7242160249145395,-1.7242160249145395,[0. 0. 0.],[0. 0. 0.]
144,0.0,-2.9526213019039025,1.0,[ 4.41137234e-01  4.76955698e-01 -3.28509368e-09],[ 4.41137234e-01  4.76955698e-01 -3.28509368e-09]
193,0.032711487516826177,-4.814199537417942,-6.641630022732527,[ 4.99005156e-01  4.78137589e-01 -3.60367064e-09],[ 4.99005156e-01  4.78137589e-01 -3.60367064e-09]
242,0.045628225353179626,-4.559589168451346,-4.964054509135291,[ 1.25513145e-01  1.40898522e-01 -3.64820747e-09],[ 1.25513145e-01  1.40898522e-01 -3.64820747e-09]
48,0.0,-1.9519031458519103,1.0,[0. 0. 0.],[0. 0. 0.]
54,0.0,-1.9906416793624664,1.0,[0. 0. 0.],[0. 0. 0.]
55,0.25017927649457905,-2.0532176651808918,-2.0532176651808918,[0. 0. 0.],[0. 0. 0.]
57,0.0,-5.01718598159985,1.0,[0. 0. 0.],[0. 0. 0.]
60,0.27389321639575875,-1.7828419411224783,-1.7828419411224783,[0. 0. 0.],[0. 0. 0.]
61,0.2416737750258983,-2.121236689202209,-2.121236689202209,[0. 0. 0.],[0. 0. 0.]
64,0.0,-6.1359707071945095,1.0,[0. 0. 0.],[0. 0. 0.]
65,0.043229736186066674,-3.728852959576714,-3.728852959576714,[0. 0. 0.],[0. 0. 0.]
70,0.2551302651459636,-1.9259791816688674,-1.9259791816688674,[0. 0. 0.],[0. 0. 0.]
225,0.0650154276076785,-5.332659613634582,-7.163149041578823,[0.49959117 0.35619855 0.46118304],[0.49959117 0.35619855 0.46118304]
426,0.0,-3.1339926260903406,1.0,[-1.56253046e-02  4.97371174e-01 -3.68495195e-09],[-1.56253046e-02  4.97371174e-01 -3.68495195e-09]
79,0.19912956618674316,-1.9153998872926798,-1.9153998872926798,[0. 0. 0.],[0. 0. 0.]
81,0.0,-2.237872124475048,1.0,[0. 0. 0.],[0. 0. 0.]
88,0.16749958973943982,-1.7503369535809787,-1.7503369535809787,[0. 0. 0.],[0. 0. 0.]
90,0.020055735510222432,-5.171867090303248,-5.171867090303248,[0. 0. 0.],[0. 0. 0.]
91,0.0,-2.2325063289474163,1.0,[0. 0. 0.],[0. 0. 0.]
92,0.22784436754141038,-1.7722089659803186,-1.7722089659803186,[0. 0. 0.],[0. 0. 0.]
94,0.04313145449416316,-4.357929441525642,-4.357929441525642,[0. 0. 0.],[0. 0. 0.]
96,0.0,-2.8472597888062094,1.0,[0. 0. 0.],[0. 0. 0.]
97,0.0,-3.0318982685364464,1.0,[0. 0. 0.],[0. 0. 0.]
99,0.0,-7.4817062037657305,1.0,[0. 0. 0.],[0. 0. 0.]
100,0.28698331027549134,-1.9122008741234864,-1.9122008741234864,[0. 0. 0.],[0. 0. 0.]
102,0.0,-1.6906557510048894,1.0,[0. 0. 0.],[0. 0. 0.]
105,0.24539382855175426,-2.064743729397241,-2.064743729397241,[0. 0. 0.],[0. 0. 0.]
108,0.0,-1.877107765960322,1.0,[0. 0. 0.],[0. 0. 0.]
109,0.2835285527979966,-1.7682171954460109,-1.7682171954460109,[0. 0. 0.],[0. 0. 0.]
111,0.0,-1.7168973592192853,1.0,[0. 0. 0.],[0. 0. 0.]
112,0.2876340467423792,-1.777553343181148,-1.777553343181148,[0. 0. 0.],[0. 0. 0.]
113,0.0,-1.8537559104077708,1.0,[0. 0. 0.],[0. 0. 0.]
263,0.09461202854503509,-4.646345491948145,-5.168101993225186,[0.17194929 0.35508606 0.29292327],[0.17194929 0.35508606 0.29292327]
116,0.19652991376790904,-2.3217011315531724,-2.3217011315531724,[0. 0. 0.],[0. 0. 0.]
117,0.0,-1.8619427506436994,1.0,[0. 0. 0.],[0. 0. 0.]
120,0.19873364080186282,-2.3374136658670546,-2.3374136658670546,[0. 0. 0.],[0. 0. 0.]
320,0.0,-5.217546671904085,1.0,[0.21063897 0.25741062 0.34751062],[0.21063897 0.25741062 0.34751062]
126,0.0,-2.5134670498889955,1.0,[0. 0. 0.],[0. 0. 0.]
127,0.206295367395689,-1.8889272006952562,-1.8889272006952562,[0. 0. 0.],[0. 0. 0.]
134,0.0,-5.0994157073526,1.0,[0. 0. 0.],[0. 0. 0.]
135,0.0,-3.6806227697949288,1.0,[0. 0. 0.],[0. 0. 0.]
136,0.2236295769899437,-1.7952379525584008,-1.7952379525584008,[0. 0. 0.],[0. 0. 0.]
138,0.076409589113649,-3.813904549803437,-3.813904549803437,[0. 0. 0.],[0. 0. 0.]
142,0.030371456786063827,-3.374326021441253,-3.374326021441253,[0. 0. 0.],[0. 0. 0.]
146,0.22796518406445726,-1.7693210843487712,-1.7693210843487712,[0. 0. 0.],[0. 0. 0.]
148,0.0,-2.2833095329168214,1.0,[0. 0. 0.],[0. 0. 0.]
149,0.0,-3.79444178569398,1.0,[0. 0. 0.],[0. 0. 0.]
369,0.047832425770873405,-5.0348051224118215,-5.802324932722461,[0.25741062 0.34751062 0.14305478],[0.25741062 0.34751062 0.14305478]
450,0.0,-2.714960873666838,1.0,[0.14305478 0.45508265 0.47881238],[0.14305478 0.45508265 0.47881238]
157,0.2679104287371635,-2.012037193623278,-2.012037193623278,[0. 0. 0.],[0. 0. 0.]
158,0.2654268985690413,-2.0248466698388468,-2.0248466698388468,[0. 0. 0.],[0. 0. 0.]
166,0.0,-1.8646443820977139,1.0,[0. 0. 0.],[0. 0. 0.]
167,0.25524820373554075,-1.9136545585244595,-1.9136545585244595,[0. 0. 0.],[0. 0. 0.]
168,0.0,-4.18807419734648,1.0,[0. 0. 0.],[0. 0. 0.]
608,0.0,-5.371031252068434,1.0,[0.1365126  0.49808974 0.48966019],[0.1365126  0.49808974 0.48966019]
174,0.22202875521318954,-2.274526037755188,-2.274526037755188,[0. 0. 0.],[0. 0. 0.]
175,0.1990003937982571,-2.170594553746676,-2.170594553746676,[0. 0. 0.],[0. 0. 0.]
176,0.13200208105779668,-2.105373251529109,-2.105373251529109,[0. 0. 0.],[0. 0. 0.]
179,0.019284519099497487,-3.9247009407501423,-3.9247009407501423,[0. 0. 0.],[0. 0. 0.]
188,0.2267041709876405,-1.7795476821570528,-1.7795476821570528,[0. 0. 0.],[0. 0. 0.]
189,0.0417741817819289,-3.7952701893047758,-3.7952701893047758,[0. 0. 0.],[0. 0. 0.]
191,0.22844476565788543,-1.7695924748122218,-1.7695924748122218,[0. 0. 0.],[0. 0. 0.]
192,0.17822942178631868,-1.6890913548661977,-1.6890913548661977,[0. 0. 0.],[0. 0. 0.]
642,0.04749946263023011,-4.594705365864458,-5.894578027829212,[ 3.97922457e-01 -3.59269600e-09 -3.49107594e-09],[ 3.97922457e-01 -3.59269600e-09 -3.49107594e-09]
648,0.0,-2.8282840801938756,1.0,[ 4.09245804e-01 -3.74081715e-09 -3.73529989e-09],[ 4.09245804e-01 -3.74081715e-09 -3.73529989e-09]
200,0.0,-1.7474643977676205,1.0,[0. 0. 0.],[0. 0. 0.]
201,0.0,-1.6845465655010083,1.0,[0. 0. 0.],[0. 0. 0.]
204,0.0,-1.6794066048357428,1.0,[0. 0. 0.],[0. 0. 0.]
207,0.0,-1.877562924260435,1.0,[0. 0. 0.],[0. 0. 0.]
208,0.23140204419923027,-2.132422223980335,-2.132422223980335,[0. 0. 0.],[0. 0. 0.]
764,0.0,-5.1462637436660055,1.0,[0.48020665 0.4123671  0.37271127],[0.48020665 0.4123671  0.37271127]
218,0.0,-1.9307784244227029,1.0,[0. 0. 0.],[0. 0. 0.]
222,0.022261336333356727,-5.180670123540672,-5.180670123540672,[0. 0. 0.],[0. 0. 0.]
223,0.23326360722755532,-2.0468399406393036,-2.0468399406393036,[0. 0. 0.],[0. 0. 0.]
12,0.0,-4.932228887341232,1.0,[-3.73562272e-09 -2.45514485e-09 -1.84706793e-09],[-3.73562272e-09 -2.45514485e-09 -1.84706793e-09]
227,0.19745848959386564,-1.9286970971785915,-1.9286970971785915,[0. 0. 0.],[0. 0. 0.]
228,0.0,-3.157564884664165,1.0,[0. 0. 0.],[0. 0. 0.]
698,0.15638302119645242,-2.726167321042862,-3.8487125439985164,[ 3.56799882e-01 -3.44946804e-09 -3.63302595e-09],[ 3.56799882e-01 -3.44946804e-09 -3.63302595e-09]
730,0.0294475354298215,-5.117301373772346,-5.957688599328769,[ 2.79936810e-01 -3.74500586e-09 -3.63905721e-09],[ 2.79936810e-01 -3.74500586e-09 -3.63905721e-09]
240,0.0,-2.1100242073066715,1.0,[0. 0. 0.],[0. 0. 0.]
243,0.0,-2.4096581004162774,1.0,[0. 0. 0.],[0. 0. 0.]
738,0.0,-5.311668440836634,1.0,[ 4.87442941e-01 -3.33672561e-09 -1.87243059e-09],[ 4.87442941e-01 -3.33672561e-09 -1.87243059e-09]
248,0.22870113240223536,-1.7656170662285278,-1.7656170662285278,[0. 0. 0.],[0. 0. 0.]
18,0.03502566667658936,-5.156069904120278,-5.903301819973843,[-2.45514485e-09 -1.84706793e-09 -3.57884621e-09],[-2.45514485e-09 -1.84706793e-09 -3.57884621e-09]
251,0.06609066356909532,-3.8964306451551547,-3.8964306451551547,[0. 0. 0.],[0. 0. 0.]
252,0.049785078676424455,-4.143317643048597,-4.143317643048597,[0. 0. 0.],[0. 0. 0.]
51,0.0,-2.7377349377932045,1.0,[-1.84706793e-09 -3.57884621e-09 -9.37273662e-10],[-1.84706793e-09 -3.57884621e-09 -9.37273662e-10]
